sentence,label
"What the hell is wrong with you?",anger
"I can't believe you'd do something so stupid!",anger
"This is absolutely ridiculous!",anger
"Are you kidding me right now?",anger
"I'm so done with this nonsense!",anger
"Why would you even think that's okay?",anger
"You've got to be joking!",anger
"This is the last straw!",anger
"I'm furious right now!",anger
"How dare you!",anger
"Stop wasting my time!",anger
"You're unbelievable!",anger
"I've had enough of this!",anger
"What a complete disaster!",anger
"This makes me so angry!",anger
"Are you seriously this clueless?",anger
"I can't stand this anymore!",anger
"You're pushing all my buttons!",anger
"This is unacceptable!",anger
"Who do you think you are?",anger
"I'm boiling with rage!",anger
"You never listen, do you?",anger
"This is beyond frustrating!",anger
"I'm about to lose it!",anger
"Seriously, what is your problem?",anger
"You're driving me insane!",anger
"I'm not putting up with this!",anger
"Enough is enough!",anger
"You're making me so mad!",anger
"Why do you always do this?",anger
"I'm sick and tired of this!",anger
"Just shut up already!",anger
"You're impossible to deal with!",anger
"This is a complete joke!",anger
"I'm so angry I could scream!",anger
"Stop being so difficult!",anger
"You're really testing my patience!",anger
"I can't deal with you right now!",anger
"What were you even thinking?",anger
"You're so frustrating!",anger
"I'm at my breaking point!",anger
"This is infuriating!",anger
"Do you ever think before you speak?",anger
"I'm not in the mood for this!",anger
"You're making everything worse!",anger
"I'm fed up with your nonsense!",anger
"Just leave me alone!",anger
"You're being ridiculous!",anger
"I'm so mad I can't even think straight!",anger
"Stop acting like a child!",anger
"Ugh, I can't even!",anger
"You're the worst!",anger
"I'm about to explode!",anger
"This is so unfair!",anger
"Why do you always ruin everything?",anger
"I'm done talking to you!",anger
"You're really getting on my nerves!",anger
"I'm not dealing with this anymore!",anger
"Are you trying to make me angry?",anger
"This is the dumbest thing I've ever heard!",anger
"I'm losing my mind because of you!",anger
"You're so inconsiderate!",anger
"I'm seriously pissed off!",anger
"Stop making excuses!",anger
"You're impossible!",anger
"I'm beyond angry right now!",anger
"What kind of nonsense is this?",anger
"You're really pushing it!",anger
"I'm not in the mood for your games!",anger
"This is total BS!",anger
"You're making me see red!",anger
"I'm so over this!",anger
"Why can't you just listen?",anger
"You're acting like a complete idiot!",anger
"I'm about to snap!",anger
"This is absolutely unacceptable!",anger
"Do you even hear yourself?",anger
"I'm so angry I can't speak!",anger
"You're being a total jerk!",anger
"Stop being so selfish!",anger
"I'm done with your attitude!",anger
"You're making me furious!",anger
"I can't believe how stupid this is!",anger
"Why are you like this?",anger
"I'm not putting up with your crap anymore!",anger
"You're so annoying!",anger
"This is driving me crazy!",anger
"I'm about to lose my temper!",anger
"Just stop talking!",anger
"You're being completely unreasonable!",anger
"I'm so mad I could punch something!",anger
"Stop acting like you know everything!",anger
"You're really ticking me off!",anger
"I'm not dealing with your nonsense!",anger
"This is pure insanity!",anger
"You're making my blood boil!",anger
"I'm so sick of your behavior!",anger
"Why do you always have to argue?",anger
"I'm beyond fed up!",anger
"You're being a total pain!",anger
"I'm about to blow my top!",anger
"This is so aggravating!",anger
"Do you enjoy making me angry?",anger
"I'm not listening to this anymore!",anger
"You're so disrespectful!",anger
"I'm fuming right now!",anger
"Stop being such a jerk!",anger
"You're really getting under my skin!",anger
"I'm not standing for this!",anger
"This is the most frustrating thing ever!",anger
"You're making me lose my mind!",anger
"I'm so angry I can't even look at you!",anger
"Why do you always have to be so difficult?",anger
"I'm done with your excuses!",anger
"You're being impossible!",anger
"I'm about to lose my cool!",anger
"This is complete madness!",anger
"Do you have any idea how angry you're making me?",anger
"I'm not dealing with your attitude!",anger
"You're so inconsiderate it's unbelievable!",anger
"I'm so mad I can't think straight!",anger
"Stop being such a know-it-all!",anger
"You're really making me lose it!",anger
"I'm not in the mood for your drama!",anger
"This is absolutely infuriating!",anger
"You're being a complete nightmare!",anger
"I'm so angry I could scream!",anger
"Why can't you just be reasonable?",anger
"I'm not putting up with your nonsense anymore!",anger
"You're making me so mad I can't even speak!",anger
"This is beyond ridiculous!",anger
"Do you even care how angry you're making me?",anger
"I'm about to lose my patience!",anger
"You're being a total brat!",anger
"I'm so frustrated I could cry!",anger
"Stop acting like a fool!",anger
"You're really grinding my gears!",anger
"I'm not dealing with this any longer!",anger
"This is the most annoying thing ever!",anger
"You're making me so angry I can't stand it!",anger
"Why do you always have to push my buttons?",anger
"I'm done with your disrespect!",anger
"You're being a complete idiot!",anger
"I'm about to lose control!",anger
"This is so irritating!",anger
"Do you realize how angry you're making me?",anger
